speaker_type,cum_dur,voc_count,turns,cds_dur,annotation_filename,recording_filename,filename,child_id,date_iso,min_duration
MAL,2688.6600000004437,1960,141,403.3360000000826,vtc/1_CW1_CH1_AJ03_AJ35_190616_0_0.csv,1_CW1_CH1_AJ03_AJ35_190616.WAV,1_CW1_CH1_AJ03_AJ35_190616.WAV,C12,2019-06-16,41071.383167
OCH,7440.172000001089,4847,1376,4566.695000000706,vtc/1_CW1_CH1_AJ03_AJ35_190616_0_0.csv,1_CW1_CH1_AJ03_AJ35_190616.WAV,1_CW1_CH1_AJ03_AJ35_190616.WAV,C12,2019-06-16,41071.383167
FEM,0.521,1,0,0.0,vtc/1_CW4_CH4_AJ03_AJ34_190616_0_0.csv,1_CW4_CH4_AJ03_AJ34_190616.WAV,1_CW4_CH4_AJ03_AJ34_190616.WAV,C13,2019-06-16,6.782
MAL,6.763999999999999,1,0,0.0,vtc/1_CW4_CH4_AJ03_AJ34_190616_0_0.csv,1_CW4_CH4_AJ03_AJ34_190616.WAV,1_CW4_CH4_AJ03_AJ34_190616.WAV,C13,2019-06-16,6.782
CHI,9249.59900000072,5084,3180,8198.78900000048,vtc/1_CW5_CH5_AJ03_AJ23_190616_0_0.csv,1_CW5_CH5_AJ03_AJ23_190616.WAV,1_CW5_CH5_AJ03_AJ23_190616.WAV,C14,2019-06-16,53643.220313
FEM,11179.459000001458,5522,1535,4951.53900000061,vtc/1_CW5_CH5_AJ03_AJ23_190616_0_0.csv,1_CW5_CH5_AJ03_AJ23_190616.WAV,1_CW5_CH5_AJ03_AJ23_190616.WAV,C14,2019-06-16,53643.220313
MAL,3653.010000000511,2323,430,1226.8550000000912,vtc/1_CW5_CH5_AJ03_AJ23_190616_0_0.csv,1_CW5_CH5_AJ03_AJ23_190616.WAV,1_CW5_CH5_AJ03_AJ23_190616.WAV,C14,2019-06-16,53643.220313
OCH,6792.773000001705,4452,1248,4134.656000000912,vtc/1_CW5_CH5_AJ03_AJ23_190616_0_0.csv,1_CW5_CH5_AJ03_AJ23_190616.WAV,1_CW5_CH5_AJ03_AJ23_190616.WAV,C14,2019-06-16,53643.220313
CHI,1533.095999999998,637,345,1274.0960000000023,vtc/1_CW9_CH9_AJ03_AJ08_190616_0_0.csv,1_CW9_CH9_AJ03_AJ08_190616.WAV,1_CW9_CH9_AJ03_AJ08_190616.WAV,C15,2019-06-16,6771.442708
FEM,1038.1289999999867,671,140,379.45399999999887,vtc/1_CW9_CH9_AJ03_AJ08_190616_0_0.csv,1_CW9_CH9_AJ03_AJ08_190616.WAV,1_CW9_CH9_AJ03_AJ08_190616.WAV,C15,2019-06-16,6771.442708
MAL,373.4790000000029,269,36,93.2580000000047,vtc/1_CW9_CH9_AJ03_AJ08_190616_0_0.csv,1_CW9_CH9_AJ03_AJ08_190616.WAV,1_CW9_CH9_AJ03_AJ08_190616.WAV,C15,2019-06-16,6771.442708
OCH,799.7239999999781,650,215,475.6699999999862,vtc/1_CW9_CH9_AJ03_AJ08_190616_0_0.csv,1_CW9_CH9_AJ03_AJ08_190616.WAV,1_CW9_CH9_AJ03_AJ08_190616.WAV,C15,2019-06-16,6771.442708
CHI,3379.9920000003726,2195,1078,2573.39800000034,vtc/1_CW3_CH3_AJ04_AJ10_190620_0_0.csv,1_CW3_CH3_AJ04_AJ10_190620.WAV,1_CW3_CH3_AJ04_AJ10_190620.WAV,C16,2019-06-20,41996.381375
FEM,5937.536000001015,3185,587,1718.5580000002071,vtc/1_CW3_CH3_AJ04_AJ10_190620_0_0.csv,1_CW3_CH3_AJ04_AJ10_190620.WAV,1_CW3_CH3_AJ04_AJ10_190620.WAV,C16,2019-06-20,41996.381375
MAL,2990.772000000336,1483,208,744.379000000057,vtc/1_CW3_CH3_AJ04_AJ10_190620_0_0.csv,1_CW3_CH3_AJ04_AJ10_190620.WAV,1_CW3_CH3_AJ04_AJ10_190620.WAV,C16,2019-06-20,41996.381375
OCH,1853.8150000005107,1745,390,797.4030000002115,vtc/1_CW3_CH3_AJ04_AJ10_190620_0_0.csv,1_CW3_CH3_AJ04_AJ10_190620.WAV,1_CW3_CH3_AJ04_AJ10_190620.WAV,C16,2019-06-20,41996.381375
CHI,4382.444000000891,2603,1324,3322.3690000006454,vtc/1_CW5_CH5_AJ04_AJ03_190620_0_0.csv,1_CW5_CH5_AJ04_AJ03_190620.WAV,1_CW5_CH5_AJ04_AJ03_190620.WAV,C17,2019-06-20,58035.74995800001
FEM,7753.855000001483,3770,666,2172.094000000432,vtc/1_CW5_CH5_AJ04_AJ03_190620_0_0.csv,1_CW5_CH5_AJ04_AJ03_190620.WAV,1_CW5_CH5_AJ04_AJ03_190620.WAV,C17,2019-06-20,58035.74995800001
MAL,2543.788000000559,1666,103,348.843000000135,vtc/1_CW5_CH5_AJ04_AJ03_190620_0_0.csv,1_CW5_CH5_AJ04_AJ03_190620.WAV,1_CW5_CH5_AJ04_AJ03_190620.WAV,C17,2019-06-20,58035.74995800001
